2026-09-15 19:41:18.120 [main] INFO  n.d.b.g.s.s.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2026-09-15 19:41:18.137 [main] INFO  r.i.i.p.PublisherChangeFoodCardApplication - Started PublisherChangeFoodCardApplication in 8.908 seconds (process running for 9.774)
2026-09-15 19:41:23.850 [SpringApplicationShutdownHook] INFO  n.d.b.g.s.s.GrpcServerLifecycle - Completed gRPC server shutdown
2026-09-15 19:41:23.867 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'postgres'
2026-09-15 19:41:23.869 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2026-09-15 19:41:23.877 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2026-09-15 19:41:23.878 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'oracle'
2026-09-15 19:41:23.878 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-15 19:41:23.904 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-09-15 20:29:21.475 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-09-15 20:29:21.586 [main] INFO  r.i.i.p.PublisherChangeFoodCardApplication - Starting PublisherChangeFoodCardApplication using Java 21.0.9 with PID 3372 (D:\gpb_tasks\publisher-change-food-card\build\classes\java\main started by USER in D:\gpb_tasks\publisher-change-food-card)
2026-09-15 20:29:21.588 [main] INFO  r.i.i.p.PublisherChangeFoodCardApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-15 20:29:22.570 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-09-15 20:29:22.647 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 1 JPA repository interface.
